YEAR,2 W,3 W,4 W,BUS,TOTAL
01-04-2017,96,4748,198,0,5042
01-05-2017,91,6720,215,2,7028
01-06-2017,137,7178,149,1,7465
01-07-2017,116,8775,120,0,9011
01-08-2017,99,8905,137,0,9141
01-09-2017,109,7414,193,0,7716
01-10-2017,160,7250,214,0,7624
01-11-2017,214,9598,186,11,10009
01-12-2017,189,8719,179,0,9087
01-01-2018,176,8750,210,29,9165
01-02-2018,156,6904,258,88,7406
01-03-2018,461,7009,183,18,7671
01-04-2018,486,6593,214,68,7361
01-05-2018,681,7276,262,69,8288
01-06-2018,956,7556,288,94,8894
01-07-2018,1217,9844,278,91,11430
01-08-2018,1573,9990,198,49,11810
01-09-2018,2257,11130,172,54,13613
01-10-2018,2557,12305,90,21,14973
01-11-2018,3374,10517,193,87,14171
01-12-2018,3168,12501,154,12,15835
01-01-2019,2745,10533,86,17,13381
01-02-2019,3126,8786,230,97,12239
01-03-2019,5866,9000,242,86,15194
01-04-2019,3078,7888,124,44,11134
01-05-2019,1666,8256,63,48,10033
01-06-2019,1757,9187,60,40,11044
01-07-2019,1569,10746,117,81,12513
01-08-2019,1506,11527,108,100,13241
01-09-2019,1561,14340,180,147,16228
01-10-2019,2136,13261,195,157,15749
01-11-2019,3144,15543,222,186,19095
01-12-2019,2235,14422,122,90,16869
01-01-2020,2941,13553,389,9,16892
01-02-2020,2353,13622,496,19,16490
01-03-2020,2883,10706,428,7,14024
01-04-2020,85,870,3,0,958
01-05-2020,558,668,84,0,1310
01-06-2020,1511,4662,295,0,6468
01-07-2020,1488,5871,359,0,7718
01-08-2020,2115,5937,371,0,8423
01-09-2020,3089,7747,340,1,11177
01-10-2020,2951,7946,462,8,11367
01-11-2020,4190,8537,570,34,13331
01-12-2020,4948,10242,526,10,15726
01-01-2021,5319,10931,657,39,16946
01-02-2021,6581,12550,627,186,19944
01-03-2021,11963,14931,907,95,27896
01-04-2021,5694,7951,1080,156,14881
01-05-2021,1243,1048,262,85,2638
01-06-2021,4671,6338,1041,70,12120
01-07-2021,14671,1853,1260,49,17833
01-08-2021,16046,13309,1202,80,30637
01-09-2021,18032,16964,1361,79,36436
01-10-2021,20812,18497,1419,84,40812
01-11-2021,24528,18690,1681,34,44933
01-12-2021,26622,24118,2645,223,53608
01-01-2022,30121,19548,1587,331,51587
01-02-2022,35708,19621,2474,278,58081
01-03-2022,54402,24606,3770,143,82921
01-04-2022,53258,21626,2310,166,77360
01-05-2022,42417,24100,3007,167,69691
01-06-2022,44372,27846,3280,146,75644
01-07-2022,46606,30489,3454,208,80757
01-08-2022,52196,33055,3417,228,88896
01-09-2022,53210,37404,3589,204,94407
01-10-2022,77137,35889,3950,243,117219
01-11-2022,76700,40403,4027,118,121248
01-12-2022,64598,35542,3879,151,104170
01-01-2023,64649,34308,3490,98,102545
01-02-2023,66033,35995,4850,99,106977
01-03-2023,86194,45225,8852,89,140360
01-04-2023,66755,38016,6193,84,111048
01-05-2023,105154,44615,7736,283,157788
